Strand	locus1	locus2	code	code2	Gene name	SEG	Chr
-	11254843	11255478	NC_000016	1	SOCS1	__SEG__	Chr16
+	86578724	86579761	NC_000016	L1	FOXL1	__SEG__	Chr16
+	86567336	86568841	NC_000016	C2	FOXC2	__SEG__	Chr16
-	30444381	30445727	NC_000016	2	SEPHS2	__SEG__	Chr16
+	3355941	3356879	NC_000016	2C1	OR2C1	__SEG__	Chr16

-	68021580	68023202	NC_000016	DDX28	DDX28	__SEG__	Chr16
+	67842555	67843499	NC_000016	11	THAP11	__SEG__	Chr16



-	75478641	75479828	NC_000016	precursor	CHST6	__SEG__	Chr16
-	75529149	75530384	NC_000016	5	CHST5	__SEG__	Chr16
+	55566757	55567503	NC_000016	2	CAPNS2	__SEG__	Chr16
-	3298965	3300614	NC_000016	7	TIGD7	__SEG__	Chr16
-	67149277	67150485	NC_000016	precursor	B3GNT9	__SEG__	Chr16
-	70251082	70251900	NC_000016	MTR3	EXOSC6	__SEG__	Chr16

-	89971359	89971922	NC_000016	1	CENPBD1	__SEG__	Chr16
-	31216759	31217028	NC_000016	1	PYDC1	__SEG__	Chr16
-	31807926	31808844	NC_000016	3	VN1R3	__SEG__	Chr16
-	29744277	29744951	NC_000016	C16orf54	C16orf54	__SEG__	Chr16
+	568048	568419	NC_000016	4	NHLRC4	__SEG__	Chr16
+	1432594	1433397	NC_000016	LOC105371045	LOC105371045	__SEG__	Chr16
-	88089877	88090590	NC_000016	LOC105369246	LOC105369246	__SEG__	Chr16
-	89848277	89849440	NC_000016	LOC105371419	LOC105371419	__SEG__	Chr16
-	33329444	33330115	NC_000016	LOC105369266	LOC105369266	__SEG__	Chr16
-	33385983	33386654	NC_000016	LOC105379473	LOC105379473	__SEG__	Chr16
-	33484765	33485436	NC_000016	LOC105379474	LOC105379474	__SEG__	Chr16
+	89157581	89159011	NC_000016	X3	ACSF3	__SEG__	Chr16
-	902566	903654	NC_000016	LOC107984876	LOC107984876	__SEG__	Chr16
-	34388921	34389442	NC_000016	MGC34800	LOC107987235	__SEG__	Chr16
-	66484544	66485149	NC_000016	LOC107984820	LOC107984820	__SEG__	Chr16
-	88263091	88264050	NC_000016	LOC107984862	LOC107984862	__SEG__	Chr16
+	88929505	88930533	NC_000016	HMA2-like	LOC105371409	__SEG__	Chr16
+	89834113	89835345	NC_000016	LOC107984817	LOC107984817	__SEG__	Chr16
-	14742119	14742679	NC_000016	chain-like	LOC105376747	__SEG__	Chr16
-	14702997	14703557	NC_000016	chain-like	LOC105371095	__SEG__	Chr16
+	29289381	29290346	NC_000016	LOC107984833	LOC107984833	__SEG__	Chr16
-	57996517	57998265	NC_000016	X1	ZNF319	__SEG__	Chr16
+	4932605	4934563	NC_000017	precursor	GP1BA	__SEG__	Chr17
+	70175040	70176323	NC_000017	2	KCNJ2	__SEG__	Chr17
+	7352943	7353641	NC_000017	KCTD11	KCTD11	__SEG__	Chr17
+	58169656	58170579	NC_000017	4D2	OR4D2	__SEG__	Chr17

+	73169320	73170429	NC_000017	2	SSTR2	__SEG__	Chr17
-	44804627	44805817	NC_000017	protein	GJC1	__SEG__	Chr17

+	6651914	6652270	NC_000017	C17orf100	C17orf100	__SEG__	Chr17
-	41046881	41047267	NC_000017	2-1	KRTAP2-1	__SEG__	Chr17
-	38673356	38674495	NC_000017	protein	EPOP	__SEG__	Chr17
-	81940818	81941741	NC_000017	2	MYADML2	__SEG__	Chr17
+	41105389	41106021	NC_000017	4-9	KRTAP4-9	__SEG__	Chr17
-	41307700	41309253	NC_000017	16-1	KRTAP16-1	__SEG__	Chr17
-	8392799	8393461	NC_000017	222	RNF222	__SEG__	Chr17
-	5500597	5500956	NC_000017	LOC728392	LOC728392	__SEG__	Chr17
+	75647377	75647565	NC_000017	6	SMIM6	__SEG__	Chr17
+	1270564	1271271	NC_000017	9	BHLHA9	__SEG__	Chr17
-	41059664	41060050	NC_000017	2-3	KRTAP2-3	__SEG__	Chr17

+	41189887	41190639	NC_000017	9-1	KRTAP9-1	__SEG__	Chr17
-	50862980	50863600	NC_000017	2	TOB1	__SEG__	Chr17
-	41029713	41030078	NC_000017	1-4	KRTAP1-4	__SEG__	Chr17
-	41301826	41302851	NC_000017	29-1	KRTAP29-1	__SEG__	Chr17
-	47847299	47848429	NC_000017	Sp6	SP6	__SEG__	Chr17
+	44903830	44905071	NC_000017	precursor	FAM187A	__SEG__	Chr17
+	41265378	41265860	NC_000017	9-6	KRTAP9-6	__SEG__	Chr17
+	41275698	41276207	NC_000017	9-7	KRTAP9-7	__SEG__	Chr17
-	57744811	57745272	NC_000017	182	CCDC182	__SEG__	Chr17
+	36537102	36538616	NC_000017	protein	PIGW	__SEG__	Chr17
+	20417450	20417959	NC_000017	LOC100996259	FAM106B	__SEG__	Chr17
+	16788901	16789410	NC_000017	FAM106C	FAM106CP	__SEG__	Chr17
+	3116594	3117457	NC_000017	1E3	OR1E3	__SEG__	Chr17

+	43399733	43400338	NC_000017	4D	ARL4D	__SEG__	Chr17
-	31295009	31296331	NC_000017	precursor	OMG	__SEG__	Chr17
-	3092058	3092996	NC_000017	1D2	OR1D2	__SEG__	Chr17

-	3397466	3398410	NC_000017	1E1	OR1E1	__SEG__	Chr17
-	3432870	3433841	NC_000017	1E2	OR1E2	__SEG__	Chr17
-	3126610	3127551	NC_000017	1G1	OR1G1	__SEG__	Chr17
-	78358418	78359095	NC_000017	3	SOCS3	__SEG__	Chr17
-	29073852	29074199	NC_000017	1	TIAF1	__SEG__	Chr17

-	39605451	39606599	NC_000017	2	NEUROD2	__SEG__	Chr17

-	73285430	73286500	NC_000017	4	CDC42EP4	__SEG__	Chr17
+	3197519	3198448	NC_000017	1A2	OR1A2	__SEG__	Chr17
+	58155154	58156086	NC_000017	4D1	OR4D1	__SEG__	Chr17
+	3215621	3216550	NC_000017	1A1	OR1A1	__SEG__	Chr17
-	3062669	3063607	NC_000017	1D5	OR1D5	__SEG__	Chr17
-	8189067	8190140	NC_000017	6	BORCS6	__SEG__	Chr17


+	21415343	21416644	NC_000017	12	KCNJ12	__SEG__	Chr17
-	47952923	47953234	NC_000017	protein	PRR15L	__SEG__	Chr17

-	41034318	41034821	NC_000017	1-3	KRTAP1-3	__SEG__	Chr17
-	41040864	41041397	NC_000017	1-1	KRTAP1-1	__SEG__	Chr17
+	41255386	41255895	NC_000017	KRTAP9.5	KRTAP9-9	__SEG__	Chr17
-	41139870	41140487	NC_000017	4-6	KRTAP4-6	__SEG__	Chr17
+	3669147	3669479	NC_000017	6	EMC6	__SEG__	Chr17
-	41123517	41124122	NC_000017	4-12	KRTAP4-12	__SEG__	Chr17
-	41026631	41027155	NC_000017	1-5	KRTAP1-5	__SEG__	Chr17
-	41008778	41009074	NC_000017	3-1	KRTAP3-1	__SEG__	Chr17
-	40999557	40999853	NC_000017	3-2	KRTAP3-2	__SEG__	Chr17
-	41097527	41098084	NC_000017	1	KRTAP4-8	__SEG__	Chr17
+	41226655	41227179	NC_000017	9-2	KRTAP9-2	__SEG__	Chr17
+	41232502	41232981	NC_000017	9-3	KRTAP9-3	__SEG__	Chr17
+	41238052	41238531	NC_000017	9-8	KRTAP9-8	__SEG__	Chr17
-	41315333	41315650	NC_000017	17-1	KRTAP17-1	__SEG__	Chr17
+	3723936	3726332	NC_000017	haspin	HASPIN	__SEG__	Chr17
-	41160191	41160691	NC_000017	4-4	KRTAP4-4	__SEG__	Chr17
-	5181833	5184256	NC_000017	594	ZNF594	__SEG__	Chr17
+	53823034	53825055	NC_000017	KIF2B	KIF2B	__SEG__	Chr17
-	41054840	41055211	NC_000017	ENSP00000381495	KRTAP2-2	__SEG__	Chr17
-	41117728	41118315	NC_000017	4-11	KRTAP4-11	__SEG__	Chr17
+	41084207	41084674	NC_000017	4-X	KRTAP4-7	__SEG__	Chr17
-	41177754	41178164	NC_000017	4-2	KRTAP4-2	__SEG__	Chr17
-	41065459	41065845	NC_000017	2-4	KRTAP2-4	__SEG__	Chr17
-	40993801	40994097	NC_000017	3-3	KRTAP3-3	__SEG__	Chr17
-	41167585	41168172	NC_000017	4-3	KRTAP4-3	__SEG__	Chr17
-	41149222	41149767	NC_000017	4-5	KRTAP4-5	__SEG__	Chr17
+	41249721	41250185	NC_000017	9-4	KRTAP9-4	__SEG__	Chr17
+	42122851	42123330	NC_000017	beta-9	HSPB9	__SEG__	Chr17
+	34961567	34962685	NC_000017	830	ZNF830	__SEG__	Chr17
-	40362931	40363815	NC_000017	protein	GJD3	__SEG__	Chr17
+	74592047	74592778	NC_000017	C17orf77	C17orf77	__SEG__	Chr17
-	35193291	35194307	NC_000017	G3	SLC35G3	__SEG__	Chr17
-	8797360	8799120	NC_000017	6-like	MFSD6L	__SEG__	Chr17
+	5091505	5093013	NC_000017	homolog	ZFP3	__SEG__	Chr17
+	45844907	45846961	NC_000017	precursor	SPPL2C	__SEG__	Chr17
-	61590533	61591180	NC_000017	alpha-2	NACA2	__SEG__	Chr17

+	61411976	61412731	NC_000017	C17orf82	C17orf82	__SEG__	Chr17
+	37512273	37512869	NC_000017	X1	DUSP14	__SEG__	Chr17
+	82941506	82942054	NC_000017	X1	LOC105371944	__SEG__	Chr17
+	3420586	3421533	NC_000017	X1	OR3A3	__SEG__	Chr17
+	40834517	40835293	NC_000017	X1	TMEM99	__SEG__	Chr17
+	80436999	80437481	NC_000017	X20	ENDOV	__SEG__	Chr17
+	82362151	82362645	NC_000017	X1	TEX19	__SEG__	Chr17
-	3291635	3292582	NC_000017	X1	OR3A1	__SEG__	Chr17
-	55720666	55721070	NC_000017	X1	TMEM100	__SEG__	Chr17
+	5488863	5489480	NC_000017	X1	MIS12	__SEG__	Chr17
+	32487621	32488544	NC_000017	X1	CDK5R1	__SEG__	Chr17
+	80726913	80727695	NC_000017	FLO11-like	LOC107985021	__SEG__	Chr17
+	32048224	32048937	NC_000017	37A3-like	LOC107985082	__SEG__	Chr17
-	46341692	46342027	NC_000017	FAM215A-like	LOC107987254	__SEG__	Chr17
-	50766923	50767387	NC_000017	X1	LINC00483	__SEG__	Chr17
+	77445007	77445648	NC_000017	LOC112268198	LOC112268198	__SEG__	Chr17
-	657876	658247	NC_000018	protein	TYMSOS	__SEG__	Chr18
-	31759768	31760691	NC_000018	52	SLC25A52	__SEG__	Chr18
-	5890198	5892063	NC_000018	200C	TMEM200C	__SEG__	Chr18
-	47022287	47023927	NC_000018	B	ELOA3B	__SEG__	Chr18
+	7231139	7232044	NC_000018	30	LRRC30	__SEG__	Chr18
-	46962768	46964408	NC_000018	D	ELOA3D	__SEG__	Chr18
+	57147313	57147831	NC_000018	2	BOD1L2	__SEG__	Chr18
+	11609596	11610612	NC_000018	G4	SLC35G4	__SEG__	Chr18
+	48252301	48252837	NC_000018	C18orf12	C18orf12	__SEG__	Chr18
-	46968695	>46969912	NC_000018	C	ELOA3C	__SEG__	Chr18

-	60371351	60372349	NC_000018	4	MC4R	__SEG__	Chr18
+	13825766	13826743	NC_000018	5	MC5R	__SEG__	Chr18

+	11851512	11852111	NC_000018	1b	CHMP1B	__SEG__	Chr18
-	67510970	67514638	NC_000018	precursor	DSEL	__SEG__	Chr18

-	22415574	22417811	NC_000018	2	CTAGE1	__SEG__	Chr18
-	49019176	49019715	NC_000018	LOC105372109	LOC105372109	__SEG__	Chr18
-	76055029	76055775	NC_000018	LOC105372204	LOC105372204	__SEG__	Chr18
+	79145025	79146749	NC_000018	LOC100996274	LOC100996274	__SEG__	Chr18
-	61815852	61816463	NC_000018	X1	RNF152	__SEG__	Chr18
-	13884625	13885518	NC_000018	X1	MC2R	__SEG__	Chr18
+	70324669	70326276	NC_000018	X1	SOCS6	__SEG__	Chr18
+	79345952	79346614	NC_000018	PFHRP-II-like	LOC107985149	__SEG__	Chr18
+	79686761	79687687	NC_000018	LOC105376875	LOC105376875	__SEG__	Chr18
-	9126012	9126950	NC_000019	7G3	OR7G3	__SEG__	Chr19
+	9093245	9094186	NC_000019	1M1	OR1M1	__SEG__	Chr19
+	15949008	15949958	NC_000019	10H4	OR10H4	__SEG__	Chr19
+	15794049	15794996	NC_000019	10H5	OR10H5	__SEG__	Chr19
+	8731029	8731973	NC_000019	2Z1	OR2Z1	__SEG__	Chr19
+	15087066	15088133	NC_000019	1I1	OR1I1	__SEG__	Chr19
-	14840948	14841877	NC_000019	7A10	OR7A10	__SEG__	Chr19
-	9213899	9214837	NC_000019	7D4	OR7D4	__SEG__	Chr19
-	9114828	9115763	NC_000019	7G1	OR7G1	__SEG__	Chr19
-	9102269	9103306	NC_000019	7G2	OR7G2	__SEG__	Chr19
+	110679	111596	NC_000019	4F17	OR4F17	__SEG__	Chr19
-	56663585	56665198	NC_000019	835	ZNF835	__SEG__	Chr19
-	45914277	45914693	NC_000019	2	NANOS2	__SEG__	Chr19
+	35995275	35995622	NC_000019	mitochondrial	SDHAF1	__SEG__	Chr19
+	9251044	9252063	NC_000019	7E24	OR7E24	__SEG__	Chr19
+	48702957	48703988	NC_000019	2	FUT2	__SEG__	Chr19

-	2289998	2291776	NC_000019	precursor	LINGO3	__SEG__	Chr19
+	43612122	43614269	NC_000019	5	SRRM5	__SEG__	Chr19
+	55642509	55643027	NC_000019	580	ZNF580	__SEG__	Chr19
+	4651870	4652430	NC_000019	1	TNFAIP8L1	__SEG__	Chr19
-	55383729	55384259	NC_000019	238	TMEM238	__SEG__	Chr19
+	53049252	53050859	NC_000019	precursor	ERVV-2	__SEG__	Chr19

+	58396090	58397079	NC_000019	225	RNF225	__SEG__	Chr19
+	55613619	55616798	NC_000019	865	ZNF865	__SEG__	Chr19
+	47340800	47341813	NC_000019	2	C5AR2	__SEG__	Chr19
-	54462090	54463526	NC_000019	2	LENG9	__SEG__	Chr19
+	12688049	12688372	NC_000019	gamma-14	GNG14	__SEG__	Chr19
-	45711684	45713495	NC_000019	46	FBXO46	__SEG__	Chr19
-	48750184	48751281	NC_000019	1	FUT1	__SEG__	Chr19
-	52613014	52614564	NC_000019	83	ZNF83	__SEG__	Chr19
+	35371360	35372400	NC_000019	42	GPR42	__SEG__	Chr19
+	19835381	19836073	NC_000019	56	ZNF56	__SEG__	Chr19
+	57364834	57365256	NC_000019	2B	TRAPPC2B	__SEG__	Chr19
+	23827162	23828049	NC_000019	58	RPSAP58	__SEG__	Chr19
+	51768659	51769714	NC_000019	2	FPR2	__SEG__	Chr19
+	50770601	50771671	NC_000019	32	GPR32	__SEG__	Chr19
+	51823749	51824810	NC_000019	3	FPR3	__SEG__	Chr19

+	12791772	12792815	NC_000019	jun-B	JUNB	__SEG__	Chr19
+	3178793	3179947	NC_000019	precursor	S1PR4	__SEG__	Chr19
-	10223844	10224905	NC_000019	2	S1PR2	__SEG__	Chr19
-	33301338	33302414	NC_000019	a	CEBPA	__SEG__	Chr19
+	13153187	13153858	NC_000019	protein	IER2	__SEG__	Chr19
+	35351552	35352454	NC_000019	1	FFAR1	__SEG__	Chr19
-	18280441	18281484	NC_000019	JunD-FL	JUND	__SEG__	Chr19
-	49908239	49909807	NC_000019	p62	NUP62	__SEG__	Chr19
+	14941489	14942448	NC_000019	7C2	OR7C2	__SEG__	Chr19
-	40441490	40442080	NC_000019	3	SERTAD3	__SEG__	Chr19
-	40422836	40423546	NC_000019	1	SERTAD1	__SEG__	Chr19
+	15741393	15742343	NC_000019	10H3	OR10H3	__SEG__	Chr19
+	15728044	15728991	NC_000019	10H2	OR10H2	__SEG__	Chr19
-	15807081	15808037	NC_000019	10H1	OR10H1	__SEG__	Chr19
-	45884020	45885774	NC_000019	1	IRF2BP1	__SEG__	Chr19
+	7519243	7520949	NC_000019	358	ZNF358	__SEG__	Chr19
-	49118633	49119022	NC_000019	C19orf73	C19orf73	__SEG__	Chr19
+	4791855	4793864	NC_000019	A	FEM1A	__SEG__	Chr19
-	57455425	57456486	NC_000019	1	VN1R1	__SEG__	Chr19
-	46493558	46495465	NC_000019	8B	PNMA8B	__SEG__	Chr19
+	57128676	57131444	NC_000019	29	USP29	__SEG__	Chr19
-	10513815	10515011	NC_000019	5	S1PR5	__SEG__	Chr19
-	14880426	14881355	NC_000019	7A17	OR7A17	__SEG__	Chr19
-	19514606	19515427	NC_000019	6	TSSK6	__SEG__	Chr19
-	46411194	46412810	NC_000019	8	CCDC8	__SEG__	Chr19
-	50798095	50798448	NC_000019	C19orf48	C19orf48	__SEG__	Chr19
-	53289664	53290374	NC_000019	8	BIRC8	__SEG__	Chr19
+	42224404	42226416	NC_000019	526	ZNF526	__SEG__	Chr19
+	48606979	48607353	NC_000019	precursor	SPACA4	__SEG__	Chr19
+	53873530	53874498	NC_000019	marker	MYADM	__SEG__	Chr19
+	1912048	1913151	NC_000019	1	ADAT3	__SEG__	Chr19
-	54465101	54465547	NC_000019	5	CDC42EP5	__SEG__	Chr19
+	8842679	8843263	NC_000019	1	MBD3L1	__SEG__	Chr19
+	11805954	11807267	NC_000019	491	ZNF491	__SEG__	Chr19
-	39532317	39532802	NC_000019	2B	EID2B	__SEG__	Chr19
+	53014091	53015524	NC_000019	precursor	ERVV-1	__SEG__	Chr19
-	37669165	37670148	NC_000019	781	ZNF781	__SEG__	Chr19
-	39539369	39540079	NC_000019	2	EID2	__SEG__	Chr19
+	53258376	53259563	NC_000019	2	VN1R2	__SEG__	Chr19
+	7682254	7682820	NC_000019	5	TRAPPC5	__SEG__	Chr19
+	9185782	9186720	NC_000019	7D2	OR7D2	__SEG__	Chr19
+	47274920	47275348	NC_000019	INAFM1	INAFM1	__SEG__	Chr19
-	8697451	8698701	NC_000019	9	ACTL9	__SEG__	Chr19
+	5455492	5456781	NC_000019	precursor	ZNRF4	__SEG__	Chr19
-	4816239	4818377	NC_000019	1	TICAM1	__SEG__	Chr19
-	58356139	58357635	NC_000019	497	ZNF497	__SEG__	Chr19
-	41425585	41426778	NC_000019	precursor	B3GNT8	__SEG__	Chr19

+	32676264	32676971	NC_000019	protein	RGS9BP	__SEG__	Chr19
+	45179297	45179905	NC_000019	3	BLOC1S3	__SEG__	Chr19
+	43718448	43719950	NC_000019	X1	IRGC	__SEG__	Chr19
+	9454692	9455435	NC_000019	polyprotein-like	LOC105372269	__SEG__	Chr19
+	20369432	20371312	NC_000019	polyprotein	LOC105372315	__SEG__	Chr19
-	58367737	58369332	NC_000019	X1	ZNF837	__SEG__	Chr19
+	36876831	36878297	NC_000019	X1	ZNF345	__SEG__	Chr19
-	14827282	14828241	NC_000019	X1	OR7A5	__SEG__	Chr19
-	45590778	45591866	NC_000019	X1	GPR4	__SEG__	Chr19
+	35449715	35450707	NC_000019	X1	FFAR2	__SEG__	Chr19
-	36514000	36515238	NC_000019	X1	ZNF260	__SEG__	Chr19
+	55644572	55645165	NC_000019	X1	ZNF581	__SEG__	Chr19
+	36236441	36237319	NC_000019	X1	ZNF146	__SEG__	Chr19
+	46755451	46756938	NC_000019	X1	FKRP	__SEG__	Chr19
+	45090115	45090510	NC_000019	X1	GEMIN7	__SEG__	Chr19
+	12208641	12209222	NC_000019	791-like	LOC107984139	__SEG__	Chr19
-	7019161	7019712	NC_000019	2B	MBD3L2B	__SEG__	Chr19
+	8676766	8677635	NC_000019	protein-like	LOC107983991	__SEG__	Chr19
+	20691479	20692039	NC_000019	430-like	LOC105372319	__SEG__	Chr19
+	53009347	53010798	NC_000019	LOC107985332	LOC107985332	__SEG__	Chr19
+	33379240	33379692	NC_000019	X1	CEBPG	__SEG__	Chr19







-	218164159	218165211	NC_000002	1	CXCR1	__SEG__	Chr2
-	96114797	96116149	NC_000002	receptor	ADRA2B	__SEG__	Chr2
-	233743479	233743916	NC_000002	3	DNAJB3	__SEG__	Chr2
-	54254919	54256151	NC_000002	6	TSPYL6	__SEG__	Chr2
-	240029491	240030429	NC_000002	6B2	OR6B2	__SEG__	Chr2

-	206176180	206177247	NC_000002	1	GPR1	__SEG__	Chr2
-	43675375	43676322	NC_000002	protein	C1GALT1C1L	__SEG__	Chr2
+	130762073	130764658	NC_000002	3	AMER3	__SEG__	Chr2
+	119680854	119681789	NC_000002	177	TMEM177	__SEG__	Chr2

-	27071349	27071462	NC_000002	4	OST4	__SEG__	Chr2
+	169700972	169701697	NC_000002	PHOSPHO2	PHOSPHO2	__SEG__	Chr2
+	62222221	62223414	NC_000002	2	B3GNT2	__SEG__	Chr2
+	218262725	218263717	NC_000002	1	GPBAR1	__SEG__	Chr2
-	110212355	110212771	NC_000002	37	SMIM37	__SEG__	Chr2
+	10912427	10913911	NC_000002	1	KCNF1	__SEG__	Chr2
+	17931009	17932484	NC_000002	3	KCNS3	__SEG__	Chr2
-	181677790	181678860	NC_000002	1	NEUROD1	__SEG__	Chr2
+	5692722	5694047	NC_000002	SOX-11	SOX11	__SEG__	Chr2



+	218959821	218960924	NC_000002	2	CDK5R2	__SEG__	Chr2

+	20447466	20448056	NC_000002	precursor	RHOB	__SEG__	Chr2
-	226795010	226798738	NC_000002	1	IRS1	__SEG__	Chr2
-	230910003	230910962	NC_000002	55	GPR55	__SEG__	Chr2
+	70087744	70088814	NC_000002	1	PCBP1	__SEG__	Chr2
+	104855511	104857013	NC_000002	3	POU3F3	__SEG__	Chr2
-	37645823	37646587	NC_000002	3	CDC42EP3	__SEG__	Chr2
-	53853134	53854756	NC_000002	75	GPR75	__SEG__	Chr2
+	105241859	105242977	NC_000002	45	GPR45	__SEG__	Chr2
+	113499257	113500483	NC_000002	1	FOXD4L1	__SEG__	Chr2


+	109614490	109616067	NC_000002	SOWAHC	SOWAHC	__SEG__	Chr2
-	120221924	120222976	NC_000002	185B	TMEM185B	__SEG__	Chr2
+	129980116	129980880	NC_000002	Rab-6C	RAB6C	__SEG__	Chr2
+	27576573	27582527	NC_000002	C2orf16	C2orf16	__SEG__	Chr2
+	127701529	127702176	NC_000002	SFT2C	SFT2D3	__SEG__	Chr2
+	238848216	238848698	NC_000002	2	TWIST2	__SEG__	Chr2
+	197705406	197707187	NC_000002	precursor	MARS2	__SEG__	Chr2
+	46758531	46760141	NC_000002	5	SOCS5	__SEG__	Chr2
+	99161958	99163079	NC_000002	precursor	LIPT1	__SEG__	Chr2
-	232548107	232549882	NC_000002	1	TIGD1	__SEG__	Chr2
-	42762908	42764179	NC_000002	1	OXER1	__SEG__	Chr2
-	177616704	177618701	NC_000002	30A	TTC30A	__SEG__	Chr2
-	177550766	177552763	NC_000002	30B	TTC30B	__SEG__	Chr2
+	231592952	231594139	NC_000002	44	TEX44	__SEG__	Chr2
-	69960657	69961688	NC_000002	1	ASPRV1	__SEG__	Chr2
+	222303903	222304394	NC_000002	140	CCDC140	__SEG__	Chr2
-	27137091	27138329	NC_000002	30	PRR30	__SEG__	Chr2
+	130729152	130730195	NC_000002	148	GPR148	__SEG__	Chr2
-	64635927	64636871	NC_000002	X1	SERTAD2	__SEG__	Chr2
+	21137468	21143272	NC_000002	X1	TDRD15	__SEG__	Chr2
-	188734606	188734920	NC_000002	X1	DIRC1	__SEG__	Chr2
-	80302251	80303819	NC_000002	X1	LRRTM1	__SEG__	Chr2
+	218134802	218135884	NC_000002	X1	CXCR2	__SEG__	Chr2
-	88027784	88028563	NC_000002	X1	KRCC1	__SEG__	Chr2
-	96253109	96253606	NC_000002	X1	TMEM127	__SEG__	Chr2
+	236580466	236581554	NC_000002	X1	ACKR3	__SEG__	Chr2
+	190199861	190200148	NC_000002	X1	C2orf88	__SEG__	Chr2
-	46512031	46512711	NC_000002	X1	ATP6V1E2	__SEG__	Chr2
-	109344229	109344918	NC_000002	LOC107985773	LOC107985773	__SEG__	Chr2
+	293573	294607	NC_000002	C1-like	LOC101927262	__SEG__	Chr2
+	1555173	1556309	NC_000002	protein-like	LOC102723730	__SEG__	Chr2
+	1536712	1537824	NC_000002	protein	LOC107985837	__SEG__	Chr2
-	43067733	43068653	NC_000002	LOC107985876	LOC107985876	__SEG__	Chr2
-	135742208	135742666	NC_000002	LOC107985946	LOC107985946	__SEG__	Chr2
+	195657420	195657896	NC_000002	LOC107985971	LOC107985971	__SEG__	Chr2
-	241819126	241820274	NC_000002	LOC107986004	LOC107986004	__SEG__	Chr2
+	14633980	14634858	NC_000002	X1	FAM84A	__SEG__	Chr2
-	207766982	207768739	NC_000002	X1	FZD5	__SEG__	Chr2
+	3482002	3482859	NC_000002	LOC112268321	LOC112268321	__SEG__	Chr2
-	69465425	69466333	NC_000002	FLJ45252	LOC112268437	__SEG__	Chr2

+	33667498	33668235	NC_000020	precursor	ACTL10	__SEG__	Chr20

+	23035484	23036650	NC_000020	4	SSTR4	__SEG__	Chr20

+	4699310	4699531	NC_000020	AltPrp	PRNP	__SEG__	Chr20
-	35277714	35277929	NC_000020	strand	MMP24OS	__SEG__	Chr20
+	35434159	35434911	NC_000020	precursor	GDF5OS	__SEG__	Chr20
-	3784684	3786483	NC_000020	B	CENPB	__SEG__	Chr20
+	20368268	20369800	NC_000020	1	INSM1	__SEG__	Chr20
-	31844550	31845542	NC_000020	S1	FOXS1	__SEG__	Chr20
+	50191034	50192071	NC_000020	a	CEBPB	__SEG__	Chr20
-	64105830	64106831	NC_000020	2	NPBWR2	__SEG__	Chr20
-	40687879	40688850	NC_000020	MafB	MAFB	__SEG__	Chr20
-	59939032	59939931	NC_000020	3D	PPP1R3D	__SEG__	Chr20
+	325925	326872	NC_000020	SOX-12	SOX12	__SEG__	Chr20
+	4724552	4725082	NC_000020	preproprotein	PRND	__SEG__	Chr20
+	23354042	23354464	NC_000020	1	NXT1	__SEG__	Chr20
+	50958843	50960225	NC_000020	MOCS3	MOCS3	__SEG__	Chr20
+	56248844	56249815	NC_000020	3	MC3R	__SEG__	Chr20
-	3146776	3149070	NC_000020	mitochondrial	FASTKD5	__SEG__	Chr20
+	297587	298798	NC_000020	3	ZCCHC3	__SEG__	Chr20
-	63006049	63006774	NC_000020	23	BHLHE23	__SEG__	Chr20

+	62845664	62845900	NC_000020	B	DPH3P1	__SEG__	Chr20
+	18813816	18814286	NC_000020	1	SCP2D1	__SEG__	Chr20
-	14325557	14327506	NC_000020	precursor	FLRT3	__SEG__	Chr20
+	45882593	45884050	NC_000020	X1	ZSWIM1	__SEG__	Chr20
+	62232835	62233470	NC_000020	FLJ44790	LOC105369209	__SEG__	Chr20
-	37518911	37519174	NC_000020	X1	BLCAP	__SEG__	Chr20
-	34363271	34363888	NC_000020	LOC107985381	LOC107985381	__SEG__	Chr20
-	1839584	1840522	NC_000020	LOC107984104	LOC107984104	__SEG__	Chr20
-	58636405	58637400	NC_000020	LOC107985410	LOC107985410	__SEG__	Chr20
-	62716268	62717236	NC_000020	LOC107987285	LOC107987285	__SEG__	Chr20
+	62775891	62776814	NC_000020	LOC107985428	LOC107985428	__SEG__	Chr20
-	11686891	11687352	NC_000020	LOC107985384	LOC107985384	__SEG__	Chr20
-	30337045	30337668	NC_000021	27-1	KRTAP27-1	__SEG__	Chr21
-	30282168	30282932	NC_000021	24-1	KRTAP24-1	__SEG__	Chr21
-	31038252	31038443	NC_000021	19-8	KRTAP19-8	__SEG__	Chr21
+	30642889	30643023	NC_000021	20-3	KRTAP20-3	__SEG__	Chr21
-	30289182	30289490	NC_000021	25-1	KRTAP25-1	__SEG__	Chr21
-	32793762	32794421	NC_000021	precursor	C21orf62	__SEG__	Chr21
-	30590237	30590374	NC_000021	22-2	KRTAP22-2	__SEG__	Chr21
-	30718583	30718759	NC_000021	21-3	KRTAP21-3	__SEG__	Chr21
-	34400317	34401072	NC_000021	C21orf140	C21orf140	__SEG__	Chr21

-	33488227	33489393	NC_000021	28	DNAJC28	__SEG__	Chr21
+	30620658	30620792	NC_000021	20-4	KRTAP20-4	__SEG__	Chr21
+	33026863	33027834	NC_000021	2	OLIG2	__SEG__	Chr21


